classification	n	maf	population_relative_gap	true_angle_deg	replicates	expected_n0	expected_n1	expected_n2	group_count_pass_rate	gap_pass_rate	joint_estimable_rate	joint_estimable_ci_low	joint_estimable_ci_high	null_reference_95	null_exceedance_rate	null_exceedance_ci_low	null_exceedance_ci_high	estimated_angle_q10_deg	estimated_angle_median_deg	estimated_angle_q90_deg	fitted_gap_q10	fitted_gap_median	fitted_gap_q90
EXPLORATORY_NON_EVIDENCE	500	0.4	0.05	0.0	12	180.0	240.0	80.00000000000001	1.0	0.8333333333333334	0.8333333333333334	0.5519691377470266	0.9530348578161463	0.6245627110522826	0.0	2.7755575615628914e-17	0.24249400665524085	70.86311741811811	82.94102893667451	88.480246783502	0.07423092773792539	0.19172002885952	0.31040806043880337
EXPLORATORY_NON_EVIDENCE	500	0.4	0.05	5.0	12	180.0	240.0	80.00000000000001	1.0	0.75	0.75	0.46769466506643426	0.9110583316059453	0.6245627110522826	0.0	2.7755575615628914e-17	0.24249400665524085	70.96817434918822	81.88014474480431	88.71275125296634	0.08754243051086331	0.19027050013232089	0.3103969617663773
EXPLORATORY_NON_EVIDENCE	500	0.4	0.05	10.0	12	180.0	240.0	80.00000000000001	1.0	0.75	0.75	0.46769466506643426	0.9110583316059453	0.6245627110522826	0.0	2.7755575615628914e-17	0.24249400665524085	71.07549235165501	81.44749733867012	88.97127091819833	0.08506848151605349	0.1888750092552613	0.3106687355643434
EXPLORATORY_NON_EVIDENCE	500	0.4	0.05	20.0	12	180.0	240.0	80.00000000000001	1.0	0.75	0.75	0.46769466506643426	0.9110583316059453	0.6245627110522826	0.0	2.7755575615628914e-17	0.24249400665524085	71.28307191192359	81.8290766278113	89.35860065973581	0.06556413787726971	0.18640945158158373	0.31132940423210714
EXPLORATORY_NON_EVIDENCE	500	0.4	0.05	30.0	12	180.0	240.0	80.00000000000001	1.0	0.75	0.75	0.46769466506643426	0.9110583316059453	0.6245627110522826	0.0	2.7755575615628914e-17	0.24249400665524085	71.445610671498	82.07651901547968	88.3173551313941	0.056511766812192915	0.18472802688016815	0.30778289000955766
EXPLORATORY_NON_EVIDENCE	500	0.4	0.1	0.0	12	180.0	240.0	80.00000000000001	1.0	0.8333333333333334	0.8333333333333334	0.5519691377470266	0.9530348578161463	0.6443071577405884	0.0	2.7755575615628914e-17	0.24249400665524085	70.53019325314314	77.53421249546227	84.93662618985189	0.08334903506722173	0.1828107708898991	0.3594654973848807
EXPLORATORY_NON_EVIDENCE	500	0.4	0.1	5.0	12	180.0	240.0	80.00000000000001	1.0	0.8333333333333334	0.8333333333333334	0.5519691377470266	0.9530348578161463	0.6443071577405884	0.08333333333333333	0.014865094404917095	0.35387991114111694	68.76348230876853	77.13655681788117	85.34746010883734	0.08770897877293822	0.18625869383030558	0.3580755243361087
EXPLORATORY_NON_EVIDENCE	500	0.4	0.1	10.0	12	180.0	240.0	80.00000000000001	1.0	0.75	0.75	0.46769466506643426	0.9110583316059453	0.6443071577405884	0.0	2.7755575615628914e-17	0.24249400665524085	65.12459669470071	76.57008502276636	85.64934193088817	0.09353755828546212	0.19256625229246724	0.3565683940934344
EXPLORATORY_NON_EVIDENCE	500	0.4	0.1	20.0	12	180.0	240.0	80.00000000000001	1.0	0.8333333333333334	0.8333333333333334	0.5519691377470266	0.9530348578161463	0.6443071577405884	0.0	2.7755575615628914e-17	0.24249400665524085	60.25949929938445	77.2693779560988	86.05943113880474	0.08931333474514225	0.18486916366258793	0.34414656496710055
EXPLORATORY_NON_EVIDENCE	500	0.4	0.1	30.0	12	180.0	240.0	80.00000000000001	1.0	0.8333333333333334	0.8333333333333334	0.5519691377470266	0.9530348578161463	0.6443071577405884	0.0	2.7755575615628914e-17	0.24249400665524085	60.34782878008354	77.42834042509334	86.03293336425385	0.08779007883816793	0.174716166223308	0.3223296985675844
EXPLORATORY_NON_EVIDENCE	500	0.4	0.2	0.0	12	180.0	240.0	80.00000000000001	1.0	0.5833333333333334	0.5833333333333334	0.31951131254954973	0.8067396863412435	0.5451356396718193	0.0	2.7755575615628914e-17	0.24249400665524085	54.43053364190461	73.71845991540268	85.82595644406793	0.03458730757822796	0.12807386378492636	0.3522261882788452
EXPLORATORY_NON_EVIDENCE	500	0.4	0.2	5.0	12	180.0	240.0	80.00000000000001	1.0	0.5833333333333334	0.5833333333333334	0.31951131254954973	0.8067396863412435	0.5451356396718193	0.08333333333333333	0.014865094404917095	0.35387991114111694	54.57129961468546	73.21434285511916	86.76433750543083	0.026845029963421207	0.1459034673750733	0.3482234163125341
EXPLORATORY_NON_EVIDENCE	500	0.4	0.2	10.0	12	180.0	240.0	80.00000000000001	1.0	0.5833333333333334	0.5833333333333334	0.31951131254954973	0.8067396863412435	0.5451356396718193	0.08333333333333333	0.014865094404917095	0.35387991114111694	54.673348654582995	72.22505590659605	88.92280810110158	0.018633938092652843	0.16034141703150412	0.3318667122218617
EXPLORATORY_NON_EVIDENCE	500	0.4	0.2	20.0	12	180.0	240.0	80.00000000000001	1.0	0.5833333333333334	0.5833333333333334	0.31951131254954973	0.8067396863412435	0.5451356396718193	0.08333333333333333	0.014865094404917095	0.35387991114111694	54.74936430652274	70.5190119998442	88.86245951578589	0.03142911101142937	0.1759012567088007	0.3030431697638166
EXPLORATORY_NON_EVIDENCE	500	0.4	0.2	30.0	12	180.0	240.0	80.00000000000001	1.0	0.6666666666666666	0.6666666666666666	0.39062208887279953	0.8618799089087867	0.5451356396718193	0.08333333333333333	0.014865094404917095	0.35387991114111694	54.62726140602583	69.43756134263572	88.33485004833287	0.044375885969977824	0.15327838778417835	0.28135783843235124
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.05	0.0	12	1805.0	190.0	5.000000000000001	0.0	0.75	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	59.74093303310211	69.32050790601826	81.65316441547147	0.07257335523982218	0.22165805413198789	0.3299563042812579
